,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
423,Monchu,MID,Real Valladolid,49,29,39,1,1,4,7,0,0,0,0,0,5,0
424,Gonzalo Plata,MID,Real Valladolid,58,29,39,0,4,3,0,0,0,0,0,0,4,0
425,Waldo Marin,FWD,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
426,Sekou Gassama,FWD,Real Valladolid,1,29,1,0,0,0,0,0,0,0,0,0,0,0
427,Hugo Vallejo,FWD,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
428,Sergio Leon,FWD,Real Valladolid,59,29,33,5,1,0,0,1,0,1,0,0,8,0
429,Stiven Plaza,FWD,Real Valladolid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
430,Sergi Guardiola,FWD,Cadiz,45,29,36,2,0,0,2,0,0,0,0,0,3,0
431,Shon Weissman,FWD,Real Valladolid,23,29,20,1,0,0,1,0,0,0,0,0,0,0
432,Marko Dmitrovic,GK,Sevilla,28,29,12,0,0,2,2,0,0,0,6,0,5,1
433,Bono,GK,Sevilla,71,29,46,0,0,4,2,0,0,0,14,1,6,14
434,Karim Rekik,DEF,Sevilla,34,29,18,1,1,3,1,0,0,0,0,0,0,4
435,Marcao,DEF,Sevilla,11,29,9,0,0,1,2,0,0,0,0,0,1,1
436,Jesus Navas,DEF,Sevilla,42,29,40,0,0,3,4,0,1,0,0,0,2,6
437,Gonzalo Montiel,DEF,Sevilla,28,29,28,0,2,2,7,1,0,0,0,0,1,5
438,Marcos Acuna,DEF,Sevilla,56,29,38,3,1,2,6,2,0,0,0,0,9,8
439,Alex Telles,DEF,Sevilla,36,29,30,0,2,2,5,0,0,0,0,0,1,4
440,Nemanja Gudelj,MID,Sevilla,75,29,50,3,0,5,7,0,0,0,0,0,12,10
441,Oliver Torres,MID,Sevilla,68,29,41,3,1,5,1,0,0,0,0,0,5,0
442,Rony Lopes,MID,Sevilla,0,29,0,0,0,0,0,0,0,0,0,0,0,0
443,Joan Jordan,MID,Sevilla,37,29,37,0,1,3,7,0,0,0,0,0,1,0
444,Fernando,MID,Sevilla,29,29,32,0,0,4,2,1,1,0,0,0,0,1
445,Thomas Delaney,MID,Sevilla,6,29,9,0,0,0,3,0,0,0,0,0,0,0
446,Jesus Corona,MID,Sevilla,2,29,2,0,0,0,0,0,0,0,0,0,0,0
447,Erik Lamela,MID,Sevilla,53,29,37,4,0,3,6,1,0,0,0,0,2,0
448,Papu Gomez,MID,Sevilla,21,29,19,0,1,0,4,0,0,0,0,0,3,0
449,Ivan Rakitic,MID,Sevilla,51,29,35,1,2,5,3,1,0,1,0,0,8,0
450,Isco,MID,Sevilla,24,29,21,0,2,2,5,0,0,0,0,0,0,0
