,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
547,Ekain Azkune,ekain-azkune,F,Real Sociedad B,real-sociedad-b,0,33,0,0,0,0,0,0,0,0,0,0,0,0
548,Arsen Zakharyan,arsen-zakharyan,M,Real Sociedad,real-sociedad,52,33,35,1,2,4,1,0,0,5,0,0,0,3
549,Jon Ander Olasagasti,jon-ander-olasagasti,M,Real Sociedad,real-sociedad,13,33,14,0,0,1,2,0,0,2,0,0,0,0
550,Eneko Astigarraga,eneko-astigarraga,M,Real Sociedad B,real-sociedad-b,0,33,0,0,0,0,0,0,0,0,0,0,0,0
551,Unai Marrero,unai-marrero,G,Real Sociedad,real-sociedad,3,33,4,0,0,0,0,0,0,1,0,0,0,0
552,Unai Eguíluz,unai-eguiluz,D,Athletic Bilbao B,athletic-bilbao-b,0,33,0,0,0,0,0,0,0,0,0,0,0,0
553,Cyle Larin,cyle-larin,F,Mallorca,mallorca,49,33,42,2,2,6,8,0,0,3,0,0,0,1
554,Sergi Darder,sergi-darder,M,Mallorca,mallorca,71,33,46,0,5,8,4,0,0,4,0,0,0,6
555,Ruben Quintanilla,quintanilla-ruben,M,Mallorca,mallorca,0,33,0,0,0,0,0,0,0,0,0,0,0,0
556,Marcos Fernández,marcos-fernandez,D,Mallorca,mallorca,0,33,0,0,0,0,0,0,0,0,0,0,0,0
557,Alberto Mari,alberto-mari,F,Valencia,valencia,16,33,12,0,1,0,0,0,0,2,0,0,0,1
558,Sergi Canós,sergi-canos,M,Valencia,valencia,36,33,27,0,2,4,1,0,0,5,0,0,0,0
559,Kepa Arrizabalaga,kepa-arrizabalaga,G,Real Madrid,real-madrid,55,33,24,0,0,6,1,0,0,2,0,6,0,4
560,Djibril Sow,djibril-sow,M,Sevilla,sevilla,49,33,41,1,1,5,6,0,0,5,0,0,0,1
561,Manu Bueno,bueno-manu,M,Sevilla,sevilla,1,33,1,0,0,0,0,0,0,0,0,0,0,0
562,Ørjan Nyland,orjan-nyland,G,Sevilla,sevilla,71,33,38,0,0,5,1,0,0,3,0,12,0,5
563,Samuel Omorodion,omorodion-samuel,F,Deportivo Alavés,deportivo-alaves,80,33,50,7,1,8,5,0,0,7,0,0,0,4
564,Alvaro Mouriño,alvaro-mourino,D,Atlético Madrid,atletico-madrid,0,33,0,0,0,0,0,0,0,0,0,0,0,0
565,Antonio Gomis Aleman,aleman-antonio-gomis,G,Atlético Madrid,atletico-madrid,0,33,0,0,0,0,0,0,0,0,0,0,0,0
566,Ibrahima Kone,ibrahima-kone,F,Almería,almeria,10,33,10,0,0,0,0,0,0,3,0,0,0,0
567,Marciano Sanca Tchami,sanca-tchami-marciano,F,Almería,almeria,0,33,0,0,0,0,0,0,0,0,0,0,0,0
568,Dion Lopy,dion-lopy,M,Almería,almeria,48,33,48,0,0,1,4,0,0,10,0,0,0,3
569,Marcos Pena,pena-marcos,M,Almería,almeria,4,33,5,0,0,0,1,0,0,0,0,0,0,0
570,Marc Pubill,marc-pubill,D,Almería,almeria,51,33,37,1,2,3,2,0,0,9,0,0,0,1
571,Luís Maximiano,luis-maximiano,G,Almería,almeria,94,33,58,0,0,5,1,0,0,16,0,19,1,9
572,Manuel Obón Salido,manuel-obon-salido,G,Almería,almeria,0,33,0,0,0,0,0,0,0,0,0,0,0,0
573,Santi García,santi-garcia,M,Getafe B,getafe-b,1,33,1,0,0,0,0,0,0,0,0,0,0,0
574,Santiago Garcia Gonzalez,garcia-gonzalez-santiago,M,Getafe,getafe,0,33,0,0,0,0,0,0,0,0,0,0,0,0
575,Gastón Álvarez,gaston-alvarez,D,Getafe,getafe,79,33,53,1,0,7,6,0,0,9,0,0,0,7
576,Jorge Benito,jorge-benito,G,Getafe,getafe,0,33,0,0,0,0,0,0,0,0,0,0,0,0
577,Mamadou Diallo,mamadou-diallo,M,Deportivo Alavés,deportivo-alaves,0,33,0,0,0,0,0,0,0,0,0,0,0,0
578,Ander Sánchez,ander-sanchez,M,Deportivo Alavés,deportivo-alaves,0,33,0,0,0,0,0,0,0,0,0,0,0,0
579,Rafa Marín,rafa-marin,D,Deportivo Alavés,deportivo-alaves,65,33,51,0,0,6,5,0,1,7,0,0,0,4
580,Nahuel Tenaglia,nahuel-tenaglia,D,Deportivo Alavés,deportivo-alaves,37,33,29,1,0,2,2,0,0,4,0,0,0,0
581,Joseda Álvarez,joseda-alvarez,D,Deportivo Alavés,deportivo-alaves,0,33,0,0,0,0,0,0,0,0,0,0,0,0
582,Álvaro Bastida,alvaro-bastida,M,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
583,Lucas Pires,lucas-pires,D,Cádiz,cadiz,39,33,39,1,0,2,6,0,0,9,0,0,0,1
584,Iza Carcelén,iza-carcelen,D,Cádiz,cadiz,71,33,60,0,0,6,2,0,0,11,0,0,0,0
585,Jorge Meré,jorge-mere,D,Cádiz,cadiz,18,33,17,0,0,1,0,0,0,3,0,0,0,0
586,Julio,julio,D,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
587,Munir El Haddadi,munir-el-haddadi,F,Las Palmas,las-palmas,73,33,56,4,2,13,3,0,0,7,1,0,0,0
588,Sory Kaba,sory-kaba,F,Las Palmas,las-palmas,24,33,19,1,1,2,2,0,0,2,0,0,0,0
589,Marvin Park,park-marvin,F,Las Palmas,las-palmas,40,33,36,0,2,2,5,0,0,3,0,0,0,3
590,Julian Araujo,julian-araujo,D,Las Palmas,las-palmas,56,33,32,1,0,5,3,0,0,4,0,0,0,5
591,Mika Mármol,mika-marmol,D,Las Palmas,las-palmas,74,33,59,0,1,6,4,1,0,7,0,0,0,2
592,Aarón Escandell,aaron-escandell,G,Las Palmas,las-palmas,1,33,4,0,0,0,0,1,0,0,0,0,0,0
593,Artem Dovbyk,artem-dovbyk,F,Girona FC,girona-fc,159,33,58,18,6,8,1,0,0,10,1,0,0,14
594,Iker Almena,iker-almena,F,Girona FC,girona-fc,0,33,0,0,0,0,0,0,0,0,0,0,0,0
595,Gonzalo Villar,gonzalo-villar,M,Granada,granada,61,33,46,1,3,4,7,0,0,8,0,0,0,4
596,Gerard Gumbau,gerard-gumbau,M,Granada,granada,60,33,52,0,3,3,10,0,0,15,0,0,0,6
597,Wilson Manafá,wilson-manafa,D,Granada,granada,4,33,7,0,0,0,1,0,0,2,0,0,0,0
598,Miki Bosch,miki-bosch,D,Granada,granada,0,33,0,0,0,0,0,0,0,0,0,0,0,0
599,Fermín López,fermin-lopez,M,Barcelona,barcelona,61,31,34,5,0,4,2,0,0,3,0,0,0,0
600,Pau Cubarsí,pau-cubarsi,D,Barcelona,barcelona,48,31,26,0,0,7,3,0,0,6,0,0,0,3
601,Andrei Rațiu,andrei-ratiu,D,Rayo Vallecano,rayo-vallecano,19,31,14,0,0,2,1,0,0,2,0,0,0,0
602,Anastasios Douvikas,douvikas-anastasios,F,Celta Vigo,celta-vigo,52,31,32,4,1,3,0,0,0,4,0,0,0,1
