,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
419,Jesús Owono,jesus-owono,G,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
420,Antonio Sivera,antonio-sivera,G,Deportivo Alavés,deportivo-alaves,1,1,2,0,0,0,0,0,0,1,0,0,0,0
421,Darwin Machís,darwin-machis,F,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
422,Álvaro Negredo,alvaro-negredo,F,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
423,Roger Martí,roger-marti,F,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
424,Sergi Guardiola,sergi-guardiola,F,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
425,Francisco Mwepu,francisco-mwepu,F,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
426,Milutin Osmajić,milutin-osmajic,F,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
427,Chris Ramos,chris-ramos,F,Cádiz,cadiz,2,1,2,0,0,1,0,0,0,0,0,0,0,0
428,Tomás Alarcón,tomas-alarcon,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
429,Brian Ocampo,brian-ocampo,M,Cádiz,cadiz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
430,Gonzalo Escalante,gonzalo-escalante,M,Cádiz,cadiz,3,1,2,0,0,1,0,0,0,0,0,0,0,0
431,Awer Mabil,awer-mabil,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
432,Youba Diarra,youba-diarra,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
433,Rubén Alcaraz,ruben-alcaraz,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
434,Rubén Sobrino,ruben-sobrino,M,Cádiz,cadiz,3,1,2,0,0,1,0,0,0,0,0,0,0,0
435,Álex Fernández,alex-fernandez,M,Cádiz,cadiz,3,1,2,0,0,1,0,0,0,0,0,0,0,0
436,Fede San Emeterio,fede-san-emeterio,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
437,Iván Alejo,ivan-alejo,M,Cádiz,cadiz,3,1,2,0,0,1,0,0,0,0,0,0,0,0
438,José Mari,jose-mari,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
439,Martín Calderón,martin-calderon,M,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
440,Víctor Chust,victor-chust,D,Cádiz,cadiz,6,1,2,0,0,1,0,0,0,0,0,0,0,0
441,Javier Hernández,javier-hernandez,D,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
442,Luis Hernández,luis-hernandez,D,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
443,Fali,fali,D,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
444,Mamadou Mbaye,mamadou-mbaye,D,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
445,Joseba Zaldúa,joseba-zaldua,D,Cádiz,cadiz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
446,Juan Cala,juan-cala,D,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
447,Raúl Parra,raul-parra,D,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
448,Jeremías Ledesma,jeremias-ledesma,G,Cádiz,cadiz,8,1,2,0,0,1,0,0,0,0,0,1,0,1
449,David Gil,david-gil,G,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450,Juan Flere,flere-juan,G,Cádiz,cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
451,Sandro Ramírez,sandro-ramirez,F,Las Palmas,las-palmas,3,1,2,0,0,0,1,0,0,0,0,0,0,2
452,Marc Cardona,marc-cardona,F,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
453,Óscar Pinchi,oscar-pinchi,F,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
454,Alberto Moleiro,alberto-moleiro,M,Las Palmas,las-palmas,2,1,2,0,0,0,0,0,0,0,0,0,0,0
455,Jonathan Viera,jonathan-viera,M,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
456,Enzo Loiodice,loiodice-enzo,M,Las Palmas,las-palmas,1,1,2,0,0,0,1,0,0,0,0,0,0,0
457,Omenuke Mfulu,omenuke-mfulu,M,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
458,Kirian Rodríguez,kirian-rodriguez,M,Las Palmas,las-palmas,2,1,2,0,0,0,0,0,0,0,0,0,0,0
459,Pejiño,pejino,M,Las Palmas,las-palmas,6,1,1,1,0,0,0,0,0,0,0,0,0,0
460,Javier Muñoz,javier-munoz,M,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
461,Cristian Herrera,cristian-herrera,M,Las Palmas,las-palmas,1,1,1,0,0,0,0,0,0,0,0,0,0,0
462,Benito Ramírez,benito-ramirez,M,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
463,Fabio González,fabio-gonzalez,M,Las Palmas,las-palmas,1,1,1,0,0,0,0,0,0,0,0,0,0,0
464,Daley Sinkgraven,daley-sinkgraven,D,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
465,Saúl Coco,saul-coco,D,Las Palmas,las-palmas,1,1,1,0,0,0,0,0,0,0,0,0,0,0
466,Eric Curbelo,eric-curbelo,D,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
467,Sergi Cardona,sergi-cardona,D,Las Palmas,las-palmas,5,1,2,0,1,0,0,0,0,0,0,0,0,0
468,Enrique Clemente,enrique-clemente,D,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
469,Álvaro Lemos,alvaro-lemos,D,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
470,Alex Suárez,alex-suarez,D,Las Palmas,las-palmas,2,1,2,0,0,0,0,0,0,0,0,0,0,0
471,Alejandro Palanca,alejandro-palanca,D,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
472,Álvaro Valles,alvaro-valles,G,Las Palmas,las-palmas,2,1,2,0,0,0,0,0,0,0,0,0,0,0
473,Alex Domínguez,alex-dominguez,G,Las Palmas,las-palmas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
474,Sávio,savio,M,Girona FC,girona-fc,3,1,2,0,0,1,0,0,0,0,0,0,0,0
475,Cristhian Stuani,cristhian-stuani,F,Girona FC,girona-fc,1,1,1,0,0,0,0,0,0,0,0,0,0,0
476,Manu Vallejo,manu-vallejo,F,Girona,girona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
477,Pau Víctor,pau-victor,F,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
478,Pablo Torre,pablo-torre,M,Girona FC,girona-fc,1,1,1,0,0,0,0,0,0,0,0,0,0,0
479,Viktor Tsygankov,viktor-tsygankov,M,Girona FC,girona-fc,3,1,2,0,0,1,0,0,0,0,0,0,0,0
480,Aleix García,aleix-garcia,M,Girona FC,girona-fc,3,1,2,0,0,1,0,0,0,0,0,0,0,0
