,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
538,Arnaut Danjuma,FWD,Villareal,12,1,2,2,0,0,0,0,0,0,0,0,2,0
539,Boulaye Dia,FWD,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
540,Gerard Moreno,FWD,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
541,Pablo Lumbreras,DEF,Osasuna,0,1,0,0,0,0,0,0,0,0,0,0,0,0
542,Ivan Romero,FWD,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
543,Ruben Sanchez Saez,MID,Espanyol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
544,Edu Exposito,MID,Espanyol,2,1,2,0,0,0,0,0,0,0,0,0,0,0
545,Nico Gonzalez,MID,Valencia,2,1,2,0,0,0,0,0,0,0,0,0,0,0
546,Moi Parra,FWD,Getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
547,Fran Delgado,DEF,Real Betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
548,Rober Gonzalez,FWD,Real Betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
549,John Donald,MID,Elche,0,1,0,0,0,0,0,0,0,0,0,0,0,0
550,Alejandro Alfaro,MID,Elche,0,1,0,0,0,0,0,0,0,0,0,0,0,0
551,Tanguy Nianzou,DEF,Sevilla,6,1,2,0,0,1,0,0,0,0,0,0,0,0
552,Fede San Emeterio,MID,Cadiz,0,1,1,0,0,0,1,0,0,0,0,0,0,0
553,Giovani Lo Celso,MID,Villareal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
554,Pol Lirola,DEF,Elche,0,1,0,0,0,0,0,0,0,0,0,0,0,0
555,Alex Collado,MID,Elche,1,1,1,0,0,0,0,0,0,0,0,0,0,0
556,Domingos Quina,MID,Elche,1,1,1,0,0,0,0,0,0,0,0,0,0,0
557,Leo Baptistao,FWD,Almeria,2,1,2,0,0,0,0,0,0,0,0,0,0,0
558,Javier Hernandez,DEF,Girona,1,1,1,0,0,0,0,0,0,0,0,0,0,0
559,Jose Angel Carmona,DEF,Sevilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0
560,Juanmi Latasa,FWD,Getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
561,Dani Gomez,FWD,Espanyol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
562,Antonio Blanco,MID,Cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
563,Jorgen Larsen,FWD,Celta Vigo,1,1,2,0,0,0,1,0,0,0,0,0,0,0
564,Brian Ocampo,MID,Cadiz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
565,Theo Bongonda,FWD,Cadiz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
566,Edinson Cavani,FWD,Valencia,11,1,1,2,0,0,0,0,0,0,0,0,2,0
567,Marcos Alonso,DEF,FC Barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
568,Hector Bellerin,DEF,FC Barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
569,Ander Herrera,MID,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
570,Sergio Reguilon,DEF,Atletico Madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
571,Abdessamad Ezzalzouli,FWD,Osasuna,1,1,1,0,0,0,0,0,0,0,0,0,0,0
572,El Bilal Toure,FWD,Almeria,6,1,2,1,0,0,0,0,0,0,0,0,0,0
573,Paulo Gazzaniga,GK,Girona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
574,Oriol Romeu,MID,Girona,2,1,2,0,0,0,0,0,0,0,0,0,0,0
575,Alexander Sorloth,FWD,Real Sociedad,2,1,2,0,0,0,0,0,0,0,0,0,0,0
576,Kasper Dolberg,FWD,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
577,Alvaro Fernandez,GK,Espanyol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
578,Omar El Hilali,DEF,Espanyol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
579,Simo,MID,Espanyol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
580,Andre Almeida,MID,Valencia,6,1,2,0,1,0,0,0,0,0,0,0,1,0
581,Ilaix Moriba,MID,Valencia,1,1,1,0,0,0,0,0,0,0,0,0,0,0
582,Kenedy,MID,Real Valladolid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
583,Ivan Fresneda,DEF,Real Valladolid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
584,Justin Kluivert,MID,Valencia,2,1,2,0,0,0,0,0,0,0,0,0,0,0
585,Kike Salas,DEF,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
586,Matija Nastasic,DEF,Mallorca,0,1,0,0,0,0,0,0,0,0,0,0,0,0
587,Nicolas Fernandez,MID,Elche,0,1,1,0,0,0,1,0,0,0,0,0,0,0
588,Lazaro,FWD,Almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
589,Federico Fernandez,DEF,Elche,0,1,0,0,0,0,0,0,0,0,0,0,0,0
590,Gonzalo Melero,MID,Almeria,5,1,2,0,1,0,1,0,0,0,0,0,1,0
